source_id,course,title,original_path,format,document_role,year,output_md,locator_type,method,ocr_used,ocr_confidence,ocr_warning,status,reviewer,notes
english-001,english,英语 SUMMARY,学科资料/英语/英语SUMMARY.docx,docx,note,,english/english-001.md,none,vscode-markdown-to-word@0.1.67 (mammoth+turndown) + manual normalization,false,,,passed,Devilsean,plugin rough normalized; semantic review passed
english-002,english,英语复习,学科资料/英语/英语复习.docx,docx,note,,english/english-002.md,none,vscode-markdown-to-word@0.1.67 (mammoth+turndown) + manual normalization,false,,,passed,Devilsean,plugin rough normalized; semantic review passed
english-003,english,英语作文竞赛,学科资料/英语/英语作文竞赛.docx,docx,essay,,english/english-003.md,none,vscode-markdown-to-word@0.1.67 (mammoth+turndown) + manual normalization,false,,,passed,Devilsean,removed plugin-added inline code; semantic review passed
information-security-intro-001,information_security_intro,信息安全导论复习提纲（精简版）,学科资料/信息安全/《信安导论》复习提纲 v1 (精简版) (1).docx,docx,review_outline,,information_security_intro/information-security-intro-001.md,heading,vscode-markdown-to-word@0.1.67 (mammoth+turndown) + manual normalization,false,,,passed,Devilsean,heading preserved; semantic review passed
computer-science-intro-002,computer_science_intro,计算机科学概论梳理,学科资料/计算机科学概论/考试复习大纲与往年卷/计算机科学概论-02.docx,docx,review_outline,,computer_science_intro/computer-science-intro-002.md,heading,vscode-markdown-to-word@0.1.67 (mammoth+turndown) + manual normalization,false,,,passed,Devilsean,plugin rough normalized; 7 embedded images preserved; semantic review passed
linear-algebra-001,linear_algebra,线性代数习题一（手写解答）,学科资料/线性代数/平时书后习题解答/习题1.docx,docx,exercise_solution,,linear_algebra/linear-algebra-001.md,page,vscode-markdown-to-word@0.1.67 (mammoth+turndown) + manual image normalization,false,,,passed,Devilsean,13 scanned handwritten pages preserved as stable image assets; no OCR/transcription; semantic review passed
university-physics-3-1-001,university_physics_3_1,2022级大学物理（一）期末试卷答案及评分标准（B卷）,学科资料/大物上/往年卷/2022级大学物理（一）期末试卷答案简版（B卷）.docx,docx,past_exam,2022,university_physics_3_1/university-physics-3-1-001.md,heading,vscode-markdown-to-word@0.1.67 (mammoth+turndown) + manual normalization,false,,,passed,Klosure,37 formula assets replaced with LaTeX; diagram and one damaged formula image retained; formula review passed
probability-theory-001,probability_theory,2012－2013学年第2学期《概率论与数理统计》期末试题（A卷）,学科资料/概率论/往年卷/2013春-A.docx,docx,past_exam,2013,probability/probability-theory-001.md,heading,vscode-markdown-to-word@0.1.67 (mammoth+turndown) + manual normalization,false,,,passed,Klosure,147 formula assets replaced with LaTeX (68 MathType v5; 44 Equation.3; 35 non-OLE); 2 unsupported v5 and 1 damaged non-OLE formula images retained; formula review passed
cpp-001,cpp,C++ 模拟机试 1,学科资料/C++（上及下）/C++代码合辑(Ai盛行，故停止维护)/模拟机试1.docx,docx,practice_exam,,cpp/cpp-001.md,heading,vscode-markdown-to-word@0.1.67 (mammoth+turndown) + manual normalization,false,,,passed,Devilsean,plugin rough normalized; six problems and reference code preserved; class label and author metadata removed; long numeric cases retained as non-personal twin-number inputs; semantic review passed
linear-algebra-002,linear_algebra,线性代数习题三（手写解答）,学科资料/线性代数/平时书后习题解答/习题3.docx,docx,exercise_solution,,linear_algebra/linear-algebra-002.md,page,vscode-markdown-to-word@0.1.67 (mammoth+turndown) + manual image normalization,false,,,passed,Devilsean,6 scanned handwritten pages preserved as stable image assets; no OCR/transcription; semantic review passed
linear-algebra-003,linear_algebra,线性代数习题四（手写解答）,学科资料/线性代数/平时书后习题解答/习题4.docx,docx,exercise_solution,,linear_algebra/linear-algebra-003.md,page,vscode-markdown-to-word@0.1.67 (mammoth+turndown) + manual image normalization,false,,,passed,Devilsean,16 scanned handwritten pages preserved as stable image assets; no OCR/transcription; semantic review passed
linear-algebra-004,linear_algebra,线性代数习题五（手写解答）,学科资料/线性代数/平时书后习题解答/习题5.docx,docx,exercise_solution,,linear_algebra/linear-algebra-004.md,page,vscode-markdown-to-word@0.1.67 (mammoth+turndown) + manual image normalization,false,,,passed,Devilsean,13 scanned handwritten pages preserved as stable image assets; no OCR/transcription; semantic review passed
linear-algebra-005,linear_algebra,线性代数习题六（手写解答）,学科资料/线性代数/平时书后习题解答/习题6.docx,docx,exercise_solution,,linear_algebra/linear-algebra-005.md,page,vscode-markdown-to-word@0.1.67 (mammoth+turndown) + manual image normalization,false,,,passed,Devilsean,11 scanned handwritten pages preserved as stable image assets; no OCR/transcription; semantic review passed
engineering-mathematical-analysis-1-001,engineering_math_analysis_1,2019—2020 学年第一学期《工科数学分析（一）》期末考试试卷（B 卷，含答案）,学科资料/工科数学分析I/历年试卷/13-19/2019软件工科数学分析上B卷及答案.pdf,pdf,past_exam,2019,engineering_math_analysis_1/engineering-mathematical-analysis-1-001.md,page,pdftoppm page rendering + manual image normalization,false,,,passed,Devilsean,6 image-only pages preserved as stable JPEG assets; no text layer; no OCR/transcription; source PDF identity metadata removed; semantic review passed
engineering-mathematical-analysis-2-001,engineering_math_analysis_2,2024 级《工科数学分析（二）》期末考试题（部分解答）,学科资料/工科数学分析II/往年卷/2024级工科数学分析（二） 期末考试题-部分解答.pdf,pdf,past_exam,2024,engineering_math_analysis_2/engineering-mathematical-analysis-2-001.md,page,pdftoppm page rendering + manual image normalization,false,,,passed,Devilsean,5 image-only pages preserved as stable JPEG assets; no text layer; no OCR/transcription; semantic review passed
